Domain;URL;Status;Source;Rank;Updated at;Confidence;LLM Reasoning;Case Management Status
m.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.14sm88.site;https://m.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.14sm88.site/;Illegal gambling;Variant (m.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.11sm88.site);;2026-08-30T11:03:19.143839Z;95;Screenshot: The website prominently features a section labeled 'Casino' in the navigation bar, indicating the availability of casino games.. Screenshot: The presence of various gaming options such as 'Game Bài', 'Thể Thao', and 'Xó Sổ' suggests betting activities related to sports and other games.. Screenshot: The website includes a 'VIP Club' section, which is often associated with exclusive betting and gambling opportunities for members.. Screenshot: The pop-up advertisement mentions 'ĐIỀM DÀNH DẦU NẠP TIỀN', which translates to 'Points for Depositing Money', a common feature in online gambling platforms.;Illegal gambling
mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.01sm88.site;https://mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.01sm88.site/;Illegal gambling;Variant (mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.11sm88.site);;2026-08-30T11:03:03.327161Z;95;Screenshot: The website prominently displays a registration bonus of 188K, which is a common indicator of online gambling sites encouraging users to sign up and deposit money.. Screenshot: The presence of various casino and betting-related icons such as 'Casino', 'Game Bài', 'Đá Gà', and 'Xó Sổ' directly indicates that the site offers gambling activities.. Screenshot: The site features a section labeled 'Hot Nhất' (Most Popular) with various gambling games, further confirming the availability of online gambling options.. Screenshot: The website includes a 'VIP Club' section, which is typically associated with rewards and benefits for frequent gamblers, reinforcing the gambling nature of the site.;Illegal gambling
mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.12sm88.site;https://mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.12sm88.site/;Illegal gambling;Variant (mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.11sm88.site);;2026-08-30T11:02:46.990237Z;95;Screenshot: The website prominently features a registration button with a monetary value (188K), indicating a financial transaction related to gambling.. Screenshot: The presence of various gambling-related categories such as 'Casino,' 'Game Bài,' and 'Xó Sổ' directly on the navigation bar suggests the site facilitates online gambling activities.. Screenshot: The site includes promotional content for gambling activities, such as 'ĐIỀM DANH NẠP TIỀN NHẬN QUÀ,' which translates to 'Sign up to deposit money and receive gifts,' a common practice in online gambling platforms.. Screenshot: The site features various gambling games and options, such as 'PG,' 'JDB,' and 'AG,' which are well-known providers of online gambling games.;Illegal gambling
mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.10sm88.site;https://mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.10sm88.site/;Illegal gambling;Variant (mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.11sm88.site);;2026-08-30T11:02:32.164194Z;95;Screenshot: The website prominently features a login popup with the text 'ĐĂNG KÍ TĂNG NGÀY 188K', indicating a promotional offer for new registrations, which is common in online gambling sites.. Screenshot: The navigation bar includes options like 'Casino', 'Game Bài', and 'Xó Sổ', which are typical categories for gambling activities.. Screenshot: The presence of various gaming icons and promotional banners with text such as 'Thưởng tiền' and 'Hot nhất', which are indicative of gambling-related content and incentives.;Illegal gambling
mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.09sm88.site;https://mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.09sm88.site/;Illegal gambling;Variant (mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.11sm88.site);;2026-08-30T11:02:17.294297Z;95;Screenshot: The website prominently features a section labeled 'Casino' in the navigation bar, indicating the availability of casino games.. Screenshot: The presence of betting-related content such as 'Nạp Lên Tiêu' and 'KKwin' suggests options for depositing and betting.. Screenshot: The site includes various gaming options like 'Xó Sở' (lottery) and 'E-Sports', which are commonly associated with online gambling activities.. Screenshot: The site has a section labeled 'VIP Club', which is often used in online gambling platforms to offer exclusive betting options to members.;Illegal gambling
mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.26sm88.site;https://mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.26sm88.site/;Illegal gambling;Variant (mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.24sm88.site);;2026-08-30T11:02:02.074848Z;95;Screenshot: The website prominently features a section labeled 'Casino' in the navigation bar, indicating the availability of casino games.. Screenshot: The presence of betting-related terms such as '8000 VND' and 'KKwin' suggests gambling activities.. Screenshot: The website includes various game categories typically associated with online gambling, such as 'Game Bài', 'Thể Thao', and 'Xó Sổ'.. Screenshot: The site has a 'Nạp Tiền' (Deposit Money) option, which is a common feature in online gambling platforms.;Illegal gambling
mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.25sm88.site;https://mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.25sm88.site/;Illegal gambling;Variant (mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.24sm88.site);;2026-08-30T11:01:47.722208Z;95;Screenshot: The website prominently features a section labeled 'Casino' in the navigation bar, indicating the availability of casino games.. Screenshot: The presence of various gaming icons and promotional content for games typically associated with online gambling.. Screenshot: The website includes a section for sports betting ('Bóng Đá') and other betting-related options.. Screenshot: The site offers bonuses and promotions related to gambling activities, such as 'NAP LIEN TIEP' which is commonly associated with depositing money for gambling.;Illegal gambling
mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.29sm88.site;https://mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.29sm88.site/;Illegal gambling;Variant (mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.24sm88.site);;2026-08-30T11:01:33.050538Z;95;Screenshot: The website prominently features a pop-up with the text 'ĐĂNG KÍ TẶNG NGÀY 188K', indicating a sign-up bonus, which is a common feature in online gambling sites.. Screenshot: The navigation bar includes options like 'Casino', 'Game Bài', and 'Xó Sổ', which are typically associated with gambling activities.. Screenshot: The presence of various gaming icons and advertisements for games that resemble slot machines and other casino games further supports the classification of the site as an online gambling platform.;Illegal gambling
mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.23sm88.site;https://mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.23sm88.site/;Illegal gambling;Variant (mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.24sm88.site);;2026-08-30T11:01:16.834582Z;95;Screenshot: The website prominently features a section labeled 'Casino' in the navigation bar, indicating the availability of casino games.. Screenshot: The presence of betting-related terms such as 'KKwin +150K' and '19BET +150K' suggests betting activities.. Screenshot: The website includes a section for 'Xó Sở' (lottery), which is a form of gambling.. Screenshot: The website has a section labeled 'VIP Club,' which is often associated with exclusive gambling opportunities and rewards.. Screenshot: The website features various game icons and promotional banners that are typical of online gambling platforms, such as 'PG Treasu' and 'JDB AG.';Illegal gambling
mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.21sm88.site;https://mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.21sm88.site/;Illegal gambling;Variant (mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.24sm88.site);;2026-08-30T11:01:01.875917Z;95;Screenshot: The website prominently features a section labeled 'Casino' in the navigation menu, indicating the availability of casino games.. Screenshot: The presence of betting-related terms such as '8000' and 'LỜI XI MỜN PHI' suggests promotional offers related to gambling.. Screenshot: The website includes various game icons and thumbnails that are typical of online gambling platforms, such as slots and other casino games.. Screenshot: The 'HOT NẠT' section with games and high-value prizes implies active gambling activities and rewards for players.;Illegal gambling
mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.22sm88.site;https://mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.22sm88.site/;Illegal gambling;Variant (mobile.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.24sm88.site);;2026-08-30T11:00:47.259304Z;95;Screenshot: The website prominently displays a registration popup with a reward of 188K, indicating a gambling incentive.. Screenshot: The navigation bar includes options like 'Casino' and 'E-Sports', which are common categories in online gambling platforms.. Screenshot: The presence of betting-related terms such as 'KKWIN +150K' and '19BET +150K' suggests gambling activities.. Screenshot: The website features various gambling games and slots, which are typical offerings on online gambling sites.;Illegal gambling
account.mobile.mobile.secure.account.mobile.verify.login.mobile.verify.m.21sm88.site;https://account.mobile.mobile.secure.account.mobile.verify.login.mobile.verify.m.21sm88.site/;Illegal gambling;Variant (account.mobile.mobile.secure.account.mobile.verify.login.mobile.verify.m.18sm88.site);;2026-08-30T11:00:32.539338Z;95;Screenshot: The website prominently displays a registration button with a reward of 188K, indicating a financial incentive for signing up, which is common in online gambling sites.. Screenshot: The presence of various gaming options such as casino, sports betting, and e-sports suggests that the site facilitates online gambling activities.. Screenshot: The site includes a section for depositing money, which is a key feature of online gambling platforms.. Screenshot: The website features a variety of games and betting options, further supporting the classification as an online gambling site.;Illegal gambling
secure.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.24sm88.site;https://secure.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.24sm88.site/;Illegal gambling;Variant (support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.24sm88.site);;2026-08-29T11:06:27.292127Z;95;Screenshot: The website prominently displays a registration button with a reward of 188K, indicating an incentive for users to sign up, which is common in online gambling platforms.. Screenshot: The presence of various gaming categories such as casino, sports betting, and e-sports suggests that the site offers gambling services.. Screenshot: The site includes a section for live betting and other gambling-related activities, which are typical features of online gambling platforms.. Screenshot: The URL contains multiple references to 'mobile' and 'account', which are indicative of a platform designed for user accounts and transactions, common in online gambling sites.;Illegal gambling
login.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.11sm88.site;https://login.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.11sm88.site/;Illegal gambling;Variant (support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.11sm88.site);;2026-08-29T11:06:11.355952Z;95;Screenshot: The website prominently features a section labeled 'Casino' in the navigation menu, indicating the availability of casino games.. Screenshot: The presence of betting-related terms such as '8000' and 'Vào ngày' in promotional banners suggests opportunities for placing bets or wagers.. Screenshot: The website includes various game categories like 'Game Bài' and 'Xó Sổ', which are commonly associated with gambling activities.. Screenshot: The site offers incentives like 'LC88 + 188K', 'KKWIN + 150K', and '19BET + 150K', which are typical promotions in online gambling platforms to attract users to place bets.;Illegal gambling
login.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.04sm88.site;https://login.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.04sm88.site/;Illegal gambling;Variant (support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.04sm88.site);;2026-08-29T11:05:53.664314Z;95;Screenshot: The website prominently displays buttons for 'Nạp tiền' (deposit) and 'Rút tiền' (withdraw), which are indicative of financial transactions commonly associated with online gambling.. Screenshot: The presence of various gambling-related categories such as 'Casino', 'Game Bài' (Card Games), 'Đá Gà' (Cockfighting), and 'Xó Sổ' (Lottery) clearly indicates that the site offers online gambling services.. Screenshot: The site features promotional offers like 'LC88 + 188K', 'KKWIN + 150K', and '19BET + 150K', which are typical incentives used to attract users to place bets or engage in gambling activities.. Screenshot: The website includes a section for 'VIP Club', which is often associated with rewards and benefits for frequent gamblers, further supporting the classification of the site as one that allows online gambling.;Illegal gambling
m.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.09sm88.site;https://m.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.09sm88.site/;Illegal gambling;Variant (m.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.10sm88.site);;2026-08-29T11:05:32.616893Z;95;Screenshot: The website prominently displays a login popup with the text 'ĐĂNG KÍ TẦNG NGÀY 188K', indicating a registration bonus, which is a common feature in online gambling sites.. Screenshot: The navigation bar includes sections like 'Casino', 'Game Bài', and 'Xó Sổ', which are typically associated with gambling activities.. Screenshot: The presence of various game icons and promotional banners with text like 'Thưởng tiền' and 'Hot nhất', suggesting the availability of gambling games and rewards.;Illegal gambling
m.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.01sm88.site;https://m.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.01sm88.site/;Illegal gambling;Variant (m.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.10sm88.site);;2026-08-29T11:05:17.629080Z;95;Screenshot: The website prominently features a section labeled 'Casino' in the navigation bar, indicating the availability of casino games.. Screenshot: The presence of various gaming icons and advertisements for gambling-related promotions, such as 'KKWIN +150K' and '19BET +150K', suggests that the site offers online gambling services.. Screenshot: The site includes a section for 'E-Sports', which often includes betting options on competitive gaming events.. Screenshot: The website has a section labeled 'VIP Club', which is commonly associated with exclusive gambling benefits and promotions.;Illegal gambling
m.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.12sm88.site;https://m.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.12sm88.site/;Illegal gambling;Variant (m.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.10sm88.site);;2026-08-29T11:05:02.157279Z;95;Screenshot: The website prominently features a section labeled 'Casino' in the navigation bar, indicating the availability of casino games.. Screenshot: The presence of betting-related promotions and bonuses, such as 'KKWIN +150K' and '19BET +150K', suggests that users can place bets and receive bonuses.. Screenshot: The website includes various gaming options like 'Nò Hù', 'Bàn Cà', and 'E-Sports', which are commonly associated with online gambling activities.. Screenshot: The site has a section for 'VIP Club', which is often linked to exclusive betting and gambling opportunities for members.;Illegal gambling
account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.17sm88.site;https://account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.17sm88.site/;Illegal gambling;Variant (account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.27sm88.site);;2026-08-29T11:04:34.715039Z;95;Screenshot: The website prominently displays a registration button with a reward of 188K, indicating an incentive for users to sign up, which is common in online gambling platforms.. Screenshot: The presence of various gaming options such as casino, sports betting, and e-sports suggests that the site offers gambling activities.. Screenshot: The site includes a section for depositing money, which is a key feature of online gambling platforms.. Screenshot: The website features a variety of games and betting options, further supporting the classification as an online gambling site.;Illegal gambling
account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.28sm88.site;https://account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.28sm88.site/;Illegal gambling;Variant (account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.27sm88.site);;2026-08-29T11:04:18.692010Z;95;Screenshot: The website prominently displays a pop-up with the text 'ĐĂNG KÍ TẶNG NGÀY 188K', indicating a registration bonus, which is a common feature in online gambling sites.. Screenshot: The navigation bar includes options like 'Casino', 'Game Bài', and 'Xó Sổ', which are typically associated with gambling activities.. Screenshot: The presence of various gaming icons and advertisements for games that are commonly found on gambling sites.. Screenshot: The website offers bonuses and promotions, such as 'LC88 + 188K' and 'KKWIN + 150K', which are typical incentives for users to deposit and gamble.;Illegal gambling
account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.25sm88.site;https://account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.25sm88.site/;Illegal gambling;Variant (account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.27sm88.site);;2026-08-29T11:04:03.755443Z;95;Screenshot: The website prominently displays a registration button with a reward of 188K, indicating an incentive for users to sign up, which is common in online gambling platforms.. Screenshot: The presence of various gaming options such as casino, sports betting, and e-sports suggests that the site offers gambling activities.. Screenshot: The site includes a section for depositing and withdrawing money, which is a key feature of online gambling platforms.. Screenshot: The URL structure and the content of the website indicate that it is designed to facilitate online gambling activities.;Illegal gambling
account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.24sm88.site;https://account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.24sm88.site/;Illegal gambling;Variant (account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.27sm88.site);;2026-08-29T11:03:48.624087Z;95;Screenshot: The website prominently features a section labeled 'Casino' in the navigation bar, indicating the availability of casino games.. Screenshot: The presence of a 'Nạp tiền' (Deposit) button suggests the ability to deposit money, which is a common feature in online gambling platforms.. Screenshot: The website includes various game categories such as 'Game Bài' (Card Games) and 'Xó Sổ' (Lottery), which are typical offerings in online gambling sites.. Screenshot: The site displays promotional offers and bonuses, which are common in online gambling platforms to attract and retain players.;Illegal gambling
account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.26sm88.site;https://account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.26sm88.site/;Illegal gambling;Variant (account.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.27sm88.site);;2026-08-29T11:03:32.697369Z;95;Screenshot: The website prominently displays buttons for 'Casino' and 'E-Sports', which are common categories in online gambling platforms.. Screenshot: The presence of a 'Betting Slip' icon in the navigation bar suggests the ability to place bets.. Screenshot: The website offers various deposit methods, such as 'LC88 + 188K', 'KKWIN + 150K', and '19BET + 150K', which are indicative of financial transactions related to gambling.. Screenshot: The pop-up advertisement mentions 'ĐĂNG KÍ TẶNG NGÀY 188K', which implies registration bonuses, a common feature in online gambling sites.;Illegal gambling
login.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.26sm88.site;https://login.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.26sm88.site/;Illegal gambling;Variant (login.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.27sm88.site);;2026-08-29T11:03:18.678876Z;95;Screenshot: The website prominently features a section labeled 'Casino' in the navigation bar, indicating the availability of casino games.. Screenshot: The presence of various gaming icons and advertisements for games like slots and poker suggests active gambling options.. Screenshot: The site includes a 'VIP Club' section, which is commonly associated with promotions and rewards for gambling activities.. Screenshot: The URL structure and design elements are typical of online gambling platforms, further supporting the classification.;Illegal gambling
login.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.29sm88.site;https://login.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.29sm88.site/;Illegal gambling;Variant (login.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.27sm88.site);;2026-08-29T11:03:02.686903Z;95;Screenshot: The website prominently features a section labeled 'Casino' in the navigation bar, indicating the availability of casino games.. Screenshot: The presence of betting-related terms such as '8000 VND' and 'KKWIN' suggests gambling activities.. Screenshot: The website includes various game icons and thumbnails that are typical of online gambling platforms, such as slot machines and card games.. Screenshot: The URL contains multiple references to 'mobile' and 'account', which are common in online gambling sites for accessing user accounts and mobile betting.. Screenshot: The website has a section labeled 'VIP Club', which is often associated with rewards and bonuses in online gambling platforms.;Illegal gambling
login.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.17sm88.site;https://login.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.17sm88.site/;Illegal gambling;Variant (login.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.27sm88.site);;2026-08-29T11:02:47.134754Z;95;Screenshot: The website prominently features a section labeled 'Casino' in the navigation bar, indicating the availability of casino games.. Screenshot: The presence of betting-related promotions and bonuses, such as 'KKWIN +150K' and '19BET +150K', suggests that users can place bets and receive rewards.. Screenshot: The website includes various gaming options like 'Nổ Hủ', 'Bán Cá', and 'E-Sports', which are commonly associated with online gambling activities.. Screenshot: The site has a section for 'VIP Club', which is often used in online gambling platforms to offer exclusive benefits to high-stakes players.;Illegal gambling
login.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.25sm88.site;https://login.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.25sm88.site/;Illegal gambling;Variant (login.support.account.mobile.mobile.secure.account.mobile.verify.login.mobile.m.27sm88.site);;2026-08-29T11:02:32.997661Z;95;Screenshot: The website prominently features a section labeled 'Casino' in the navigation bar, indicating the availability of casino games.. Screenshot: The presence of betting-related terms such as 'Hot Now' and 'Top' in the interface suggests gambling activities.. Screenshot: The website includes various game icons and thumbnails that are commonly associated with online gambling games.. Screenshot: The site has a section for depositing and withdrawing money, which is a typical feature of online gambling platforms.;Illegal gambling
